Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Audit ID,Department,Region,Control Score,Compliance Status,Auditor Name,Audit Date,Violations Count
Risk Management,Internal Audit Operations,Control Monitoring,Review Audit Findings,Security Value,Control Data,Review Findings,ec3a5d88-7c12-48aa-87dd-6afee89c955f,Finance,Americas,99.47,Compliant,Nicole Peterson,2025-09-07,8
Risk Management,Control Management,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,d1eaee39-5104-44b7-aeb4-4c85f5aefcbc,IT,Americas,60.18,Escalated,Diane Miller,2025-01-16,0
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,8ccd0303-fc9b-406b-9860-ca84923b2a90,Operations,EMEA,58.65,Non-Compliant,Robert Ballard,2025-10-14,8
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Review Findings,3092ba41-8e8c-46f4-bd8d-143b1b001bf3,HR,Americas,87.84,Pending Review,Andrea Braun,2025-05-18,10
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Control Data,Review Findings,564b8610-7dc3-4938-bced-8c8c671b163b,Finance,Americas,87.48,Compliant,Gary Jordan,2025-08-25,2
Risk Management,Control Management,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Review Findings,2bf201fb-a262-4f06-b4f7-fabdb54509ff,IT,Americas,55.99,Compliant,Brian Moreno,2025-10-16,2
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,759dc7ff-4331-407f-b581-4b28dca99384,Finance,EMEA,74.47,Pending Review,Tyler Hughes,2025-09-12,10
Risk Management,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,fd5497f7-9e4a-43e8-a5d5-3b7cfceda8bb,Finance,APAC,83.55,Pending Review,Zachary Campos,2025-04-09,10
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Control Data,Review Findings,515c1b47-3c7d-4555-9352-360d407613a4,Operations,APAC,64.91,Pending Review,Darius Williams,2025-06-12,5
Financial Control,Control Management,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,ee29cdb4-5e7b-447e-83bd-eab7c9e65770,Operations,EMEA,67.0,Non-Compliant,Bruce Kelley,2025-08-24,3
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Audit Data,Enforce Segregation of Duties,03f1f7d2-83f5-4927-a067-191f28b8c754,HR,Americas,65.05,Non-Compliant,Dylan Kerr,2025-07-04,5
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Compliance Data,Enforce Segregation of Duties,7daff35d-b99e-4fdf-beb7-ee900684c9c5,IT,Americas,85.49,Pending Review,Laura Davis,2025-04-12,9
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Security Value,Audit Data,Assess Controls,3a442d95-e67f-49e3-ae75-40d05133edc4,HR,APAC,69.97,Non-Compliant,Tony Martinez,2025-05-26,0
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Security Value,Control Data,Review Findings,95b0c7f6-1a3b-4f6b-88ce-d0700cf94cf5,Compliance,Americas,88.05,Compliant,Daniel Banks,2025-04-25,8
Operational Risk,Internal Audit Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Control Data,Enforce Segregation of Duties,0ecda76c-3613-4556-a073-8d9afd0c52b3,Compliance,Americas,98.41,Pending Review,Margaret Garcia,2025-01-31,7
Financial Control,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Audit Data,Enforce Segregation of Duties,c859ee3a-68bd-4096-8d23-e352f8b7c4af,Finance,EMEA,50.89,Compliant,Darlene Nunez,2025-10-09,9
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Audit Data,Assess Controls,92227c84-5e1a-41c7-844e-aaa0367f79fe,Operations,Americas,97.59,Escalated,Ruth Mercado,2025-05-15,7
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Enforce Segregation of Duties,0510a768-b0eb-4327-81ae-83b87fb52e24,IT,Americas,89.76,Pending Review,Christina Reynolds,2025-10-16,1
Financial Control,Control Management,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,65826bd0-3f3e-4a2f-adb9-5ea996829805,Compliance,APAC,79.49,Escalated,Julie Larsen,2025-10-06,0
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Audit Data,Enforce Segregation of Duties,1dd7c52b-e37d-4c23-8815-fc6a6050e57d,IT,Americas,99.63,Escalated,Anthony Collins,2025-07-13,3
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Enforce Segregation of Duties,9c7516a5-a867-41f0-96af-37ba8981b6f9,HR,APAC,84.31,Pending Review,Katherine Robinson,2025-01-03,10
Financial Control,Control Management,Control Monitoring,Assess Risk Controls,Monitor,Compliance Data,Review Findings,1c448a86-565a-46bb-934a-20187371f34a,Compliance,APAC,86.71,Compliant,Joshua Jones,2025-07-29,7
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,39755355-8ebc-47a0-a74f-8f4744656da7,Operations,APAC,98.32,Compliant,Lauren Thompson,2025-03-03,1
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Assess Controls,6c3fbabe-367e-4285-850f-404a94d19ecc,Compliance,EMEA,83.5,Compliant,Christine White,2025-09-08,6
Financial Control,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Monitor,Audit Data,Assess Controls,86453b5b-1f94-4fbe-8fb1-cf581869c488,HR,APAC,76.44,Non-Compliant,Nicholas Hamilton,2025-05-28,3
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Security Value,Audit Data,Assess Controls,9a816db6-d9d3-4650-9a68-4e5e52015a27,Operations,Americas,97.19,Non-Compliant,Johnny Harvey,2025-03-10,4
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,f482675a-6628-420a-90aa-9cc48adab82d,IT,EMEA,75.8,Non-Compliant,Heidi Brewer,2025-04-17,0
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,cf9ed1cc-a96d-46d1-b58a-c6f45558bfd4,IT,APAC,58.38,Escalated,Benjamin Riddle,2025-09-13,8
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,1f96926e-03bb-4623-ad5c-b8376368179b,Compliance,Americas,75.34,Compliant,Adam Patton,2025-03-18,7
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Enforce Segregation of Duties,2f5b6e8f-01af-4e34-944a-b9173716d33e,Finance,Americas,64.33,Pending Review,Nicholas Smith,2025-10-11,1
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Control Data,Review Findings,01793b38-682e-4dd9-b547-3ad3f9a9e19a,Finance,Americas,59.42,Non-Compliant,Alan Jackson,2025-01-01,5
Operational Risk,Control Management,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Assess Controls,170aa61e-cb81-48d3-8761-42229ef2275e,Finance,EMEA,92.62,Pending Review,Lisa Hoffman,2025-02-17,8
Operational Risk,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,a6583e2a-8e88-4aa8-807a-121a4bde53bf,Finance,APAC,64.52,Escalated,Kevin Shelton,2025-01-05,1
Risk Management,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Enforce Segregation of Duties,d1080353-1716-4443-bfd6-8826cc56405c,HR,EMEA,63.23,Compliant,Cameron Evans,2025-08-29,10
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Audit Data,Review Findings,b15156fb-2e9f-4065-a357-481cff1a036b,Finance,EMEA,70.85,Escalated,Kimberly Huffman,2025-09-21,10
Risk Management,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Audit Data,Review Findings,f526dc04-a10e-4b14-8868-36dd8db5e2fb,Compliance,APAC,55.82,Pending Review,Harold Drake,2025-01-11,1
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Control Data,Enforce Segregation of Duties,a861848e-13e6-4b34-9e44-13b8daa2a811,Operations,EMEA,79.87,Non-Compliant,Megan Mckenzie,2025-03-25,10
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Compliance Oversight,Control Data,Assess Controls,3c609220-53e6-4b10-8a2e-66d2fc4afff5,Finance,APAC,59.13,Compliant,Anne Watkins,2025-07-20,9
Financial Control,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Enforce Segregation of Duties,f5b82748-ca03-4300-bbe1-3b5f6131dd8b,Finance,APAC,68.16,Non-Compliant,Laurie Morris,2025-05-14,8
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,217a70a4-faac-4f60-bb46-c6aa3b166259,Operations,EMEA,78.07,Non-Compliant,Erin Banks,2025-04-19,8
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,d1b59f68-e8c8-4f59-b881-e5c3288e03c0,IT,EMEA,51.68,Compliant,Rebecca Frazier,2025-09-16,1
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Compliance Data,Enforce Segregation of Duties,a9bac63e-b794-4da4-9a0a-3d7a8e248128,IT,EMEA,82.31,Compliant,Susan Garza,2025-02-19,9
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Compliance Oversight,Compliance Data,Enforce Segregation of Duties,82b3b8e5-61f0-4f69-8f19-77b055208d96,Finance,Americas,94.51,Compliant,Jessica Thomas,2025-04-17,1
Operational Risk,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Monitor,Control Data,Assess Controls,f2ccf070-c33e-40fd-872f-05208b2b4dcd,Finance,APAC,71.44,Non-Compliant,Jose Richard,2025-09-02,7
Operational Risk,Control Management,Audit Reporting,Assess Risk Controls,Monitor,Control Data,Enforce Segregation of Duties,b514b808-4cdc-450e-9de3-1db8557fe505,IT,Americas,51.55,Compliant,Christine Rivera,2025-03-28,7
Operational Risk,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,d46c8da5-97b0-4d55-bf36-658904132de0,Compliance,EMEA,60.45,Compliant,James Hill,2025-04-20,4
Risk Management,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Control Data,Review Findings,24e04d0d-cb4b-4fde-a98d-737b80f785fd,IT,APAC,90.26,Non-Compliant,Robin Johnson,2025-03-29,6
Risk Management,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,7d5db8a6-1aaf-4fd0-a288-0a7a4054a105,HR,EMEA,97.61,Escalated,Michael Jackson,2025-08-16,9
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,f32b0e42-be6d-491f-a20b-a4b6483ba7a3,Compliance,Americas,81.85,Escalated,Nicole Davenport,2025-02-17,7
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Compliance Oversight,Control Data,Review Findings,f2710440-87c4-4595-adb0-3dd8ae4f7a60,IT,Americas,83.36,Compliant,Joseph Lewis,2025-02-16,10
Financial Control,Control Management,Control Monitoring,Review Audit Findings,Security Value,Control Data,Enforce Segregation of Duties,ed003b53-a518-4dd7-98ca-4971a8a96158,Finance,EMEA,56.43,Compliant,Robert Smith,2025-05-15,7
Financial Control,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,7d38083d-a810-43a6-bb9e-2b0a35662e3e,Finance,APAC,78.3,Escalated,Jacqueline Lynch,2025-01-26,6
Risk Management,Control Management,Control Monitoring,Enforce Segregation of Duties,Monitor,Audit Data,Review Findings,f95ccedd-99bb-410b-9d20-044d5850c7fb,IT,APAC,50.46,Pending Review,Nicholas Schmidt,2025-05-24,0
Risk Management,Risk and Compliance Operations,Control Monitoring,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,9df7079e-33ad-477b-8f96-6692a4811193,Compliance,APAC,83.4,Non-Compliant,Daniel Smith,2025-06-03,8
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Monitor,Compliance Data,Assess Controls,f05f386f-1056-4787-b4ec-2d08b71518b0,Finance,EMEA,84.94,Pending Review,Luke Skinner,2025-02-10,0
Financial Control,Risk and Compliance Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Control Data,Enforce Segregation of Duties,25e13de4-9644-415d-b578-b5ff4a1092d4,Finance,EMEA,95.28,Escalated,Deborah Moore,2025-10-03,10
Operational Risk,Control Management,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,dee2d7b6-d81a-4c98-98b7-5edb4b09d1d0,Finance,EMEA,90.67,Compliant,Mr. Ryan Griffin,2025-09-28,3
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Review Findings,191292bd-6c56-4ed3-bca0-f97b9ca0fede,Operations,APAC,77.7,Compliant,William Johnson,2025-03-05,1
Risk Management,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,a73ab6a8-68e3-4ddf-bdcb-d3d334f5986c,Compliance,APAC,90.22,Escalated,Natalie Bennett,2025-01-17,7
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Monitor,Control Data,Enforce Segregation of Duties,4b3cea7d-de65-4680-9d96-65919f044ff7,HR,APAC,98.38,Compliant,Scott Macias,2025-04-01,8
Risk Management,Control Management,Control Monitoring,Assess Risk Controls,Compliance Oversight,Audit Data,Review Findings,6bbddd65-5c95-4a7f-a624-24adb58cad28,Compliance,EMEA,96.76,Pending Review,Curtis Orr,2025-04-11,3
Operational Risk,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Security Value,Audit Data,Enforce Segregation of Duties,578729e3-760a-4609-81a1-17da4ab69c20,Operations,Americas,80.45,Pending Review,Megan Collins,2025-01-11,7
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Compliance Data,Assess Controls,51a7d599-c8a2-443e-95f1-14058b7caa1c,Finance,APAC,86.46,Non-Compliant,Alexandra Patel,2025-01-19,5
Operational Risk,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Security Value,Control Data,Review Findings,b70c79ba-748e-42f8-9a2d-9e0e35c420b5,Operations,APAC,70.27,Pending Review,Javier Garcia,2025-10-01,1
Financial Control,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Enforce Segregation of Duties,b24bcfa0-2da5-4626-b7ec-ee64dfab75b0,Compliance,Americas,79.16,Non-Compliant,Annette Robinson,2025-01-10,9
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Control Data,Assess Controls,a9592458-95a1-4754-801d-005be7d3d589,Finance,Americas,81.41,Escalated,Bryan Baird,2025-08-02,8
Financial Control,Internal Audit Operations,Audit Reporting,Review Audit Findings,Monitor,Control Data,Assess Controls,f886d1c9-e714-4212-8b9e-42e4108142c7,IT,Americas,87.26,Non-Compliant,Justin Wilson,2025-01-20,10
Financial Control,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Security Value,Compliance Data,Assess Controls,f6b413ae-9ecb-406b-b6aa-74371c00395f,HR,Americas,65.77,Compliant,Patricia Fuller,2025-04-14,9
Risk Management,Control Management,Audit Reporting,Review Audit Findings,Security Value,Compliance Data,Assess Controls,d26c5366-511c-4446-a032-996f33ee612f,HR,APAC,60.74,Pending Review,Martin Mendoza,2025-09-20,8
Operational Risk,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Security Value,Compliance Data,Assess Controls,913f7ade-1017-4fb1-9e3f-c3d1d7b1680c,Finance,APAC,52.36,Pending Review,Corey Baldwin,2025-09-05,9
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Audit Data,Review Findings,0e0b428d-7c65-4d06-9e2a-2a5089380902,Compliance,APAC,97.52,Escalated,Monica Jones,2025-05-05,10
Risk Management,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Audit Data,Enforce Segregation of Duties,561ac795-2cb7-4c29-b569-42f0063f8939,Compliance,EMEA,79.5,Non-Compliant,Robert Lee,2025-03-10,5
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,46f2e784-ab8d-477f-86f6-bb0608f6c6e1,HR,EMEA,89.01,Compliant,Chelsea Griffin,2025-07-16,3
Financial Control,Control Management,Control Monitoring,Review Audit Findings,Security Value,Control Data,Review Findings,2509af16-56a1-4731-8784-e2317a740c70,Compliance,APAC,96.84,Non-Compliant,Taylor Mclaughlin,2025-01-06,9
Operational Risk,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Compliance Data,Review Findings,8d04fac0-23f3-4fe5-8b88-f619aac05b11,Compliance,APAC,91.52,Pending Review,Jessica Wells,2025-09-14,6
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Audit Data,Enforce Segregation of Duties,ce85854b-b1c2-4887-9e9c-8b9e774f6312,IT,EMEA,82.22,Escalated,Carol Harris,2025-02-18,7
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Control Data,Review Findings,d806466b-e97a-4ec7-99c8-271d5568ab00,Compliance,EMEA,72.99,Non-Compliant,Aaron Pace,2025-03-15,5
Financial Control,Control Management,Audit Reporting,Review Audit Findings,Security Value,Audit Data,Assess Controls,b1ff988b-1b4c-466c-9725-0c5acafc8977,HR,APAC,93.36,Non-Compliant,Anna Garcia,2025-05-31,6
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Compliance Data,Review Findings,7e7f74d0-cdab-42c7-aa95-1bdc88458c9a,Operations,EMEA,91.6,Compliant,Jeffrey Mitchell,2025-01-25,10
Risk Management,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Review Findings,ee73650a-656a-4abb-81dc-5f5436acc9a5,IT,APAC,87.69,Non-Compliant,Frederick Mccall,2025-03-23,1
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Security Value,Compliance Data,Enforce Segregation of Duties,82efff37-827f-45f5-93f7-23b739c111f5,Compliance,EMEA,76.44,Non-Compliant,Alexander Cain,2025-01-18,3
Operational Risk,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Assess Controls,ed176e53-f70b-44ea-ad57-a69b74b25349,Compliance,Americas,70.21,Compliant,David Tate,2025-09-12,1
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,0c1e9162-ac89-4504-8dfb-9f860d10109c,Operations,EMEA,86.56,Escalated,Donna Schmidt,2025-05-23,10
Risk Management,Risk and Compliance Operations,Control Monitoring,Assess Risk Controls,Security Value,Control Data,Enforce Segregation of Duties,e2584487-2693-476d-97b5-112385da97a3,Compliance,APAC,79.12,Pending Review,Joseph Boyd,2025-02-07,8
Financial Control,Control Management,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Assess Controls,cf22346d-f930-4879-b92a-3eb77672d4df,HR,EMEA,60.71,Non-Compliant,Justin Hodges,2025-04-21,5
Operational Risk,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Control Data,Assess Controls,5ddd01b6-1e7c-474b-98fe-6ca20aa07bfc,Finance,Americas,84.31,Pending Review,Michelle Ruiz,2025-02-11,8
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Review Findings,c6b57c46-8e7e-4c5b-8c43-ccd3c20ac578,Compliance,APAC,99.63,Compliant,Julia Miller,2025-06-02,7
Financial Control,Risk and Compliance Operations,Audit Reporting,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,ecd9ca3a-3b19-4ec3-a01d-322f636a319e,IT,Americas,98.69,Escalated,Veronica Odonnell,2025-01-12,6
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Security Value,Compliance Data,Review Findings,8e2a267a-24e7-4643-bbf9-f5fd59fdf0fc,HR,APAC,61.04,Compliant,Jeremy Davis,2025-07-09,5
Operational Risk,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,3773d29a-85cc-420e-aa44-f5a97e0a091a,IT,EMEA,89.36,Pending Review,John Curtis,2025-02-20,5
Risk Management,Control Management,Internal Audit and Controls,Review Audit Findings,Security Value,Compliance Data,Enforce Segregation of Duties,dce9c7fd-2dd3-4531-beb6-e3dc199c4d11,Finance,Americas,89.39,Escalated,Kelly Alexander,2025-07-23,10
Financial Control,Internal Audit Operations,Control Monitoring,Review Audit Findings,Monitor,Compliance Data,Assess Controls,e8cb8977-0ac8-40ce-9173-26a1e7ec5f4c,Finance,EMEA,65.62,Escalated,Jennifer Silva,2025-02-15,1
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Security Value,Control Data,Assess Controls,95352785-101e-46b2-a39c-000e193875e6,HR,Americas,54.4,Non-Compliant,Melissa Wilson,2025-06-08,0
Risk Management,Control Management,Internal Audit and Controls,Assess Risk Controls,Security Value,Audit Data,Assess Controls,910a5a78-b5e5-4054-b8f8-82d5b52c8142,IT,Americas,69.8,Non-Compliant,Phillip Gross,2025-02-13,2
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Audit Data,Review Findings,c1619b4b-d5d4-4164-868a-89c3e970b5f7,IT,EMEA,82.29,Non-Compliant,Alex Richardson,2025-01-21,10
Risk Management,Internal Audit Operations,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Enforce Segregation of Duties,5a0086b8-5acc-4a66-98e0-eb5cee56451f,Operations,Americas,61.12,Non-Compliant,Gerald Miller,2025-07-21,9
Financial Control,Internal Audit Operations,Audit Reporting,Assess Risk Controls,Compliance Oversight,Audit Data,Assess Controls,5024c080-74ce-4427-8efd-df86dcdfb555,Operations,EMEA,68.12,Non-Compliant,Erica Harrison,2025-10-03,9
Operational Risk,Control Management,Audit Reporting,Review Audit Findings,Monitor,Compliance Data,Enforce Segregation of Duties,77dffd0e-dd43-481b-b546-691cac4c5663,HR,Americas,86.38,Escalated,Michael Bailey,2025-03-13,7
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,706109ab-ae8a-4069-ab04-cfb662b4abb6,HR,APAC,81.99,Escalated,Joseph Humphrey,2025-06-08,9
Risk Management,Internal Audit Operations,Control Monitoring,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Review Findings,aec15627-bc20-4b66-9728-cdcefdb2a9f3,Operations,Americas,75.72,Pending Review,Matthew Ramirez,2025-06-14,7
Financial Control,Risk and Compliance Operations,Control Monitoring,Review Audit Findings,Compliance Oversight,Compliance Data,Review Findings,832f9770-bc55-4699-ad6c-891615f4616c,Operations,EMEA,98.22,Escalated,Thomas Rogers,2025-03-12,4
Risk Management,Internal Audit Operations,Control Monitoring,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,7cdecbdf-2846-46cb-9f2e-e715aa3767bc,Operations,APAC,53.65,Escalated,Ashley Rodriguez,2025-01-08,9
Risk Management,Internal Audit Operations,Audit Reporting,Review Audit Findings,Security Value,Control Data,Assess Controls,017cb19d-5e8d-4146-81d4-23b8a8216200,Operations,APAC,73.97,Escalated,Aaron Carr,2025-06-07,2
Risk Management,Control Management,Internal Audit and Controls,Review Audit Findings,Monitor,Control Data,Review Findings,ee59fc86-b900-456f-95d2-f99cd4e49360,IT,EMEA,82.17,Pending Review,Bryan Richardson,2025-08-31,6
Operational Risk,Control Management,Audit Reporting,Enforce Segregation of Duties,Security Value,Compliance Data,Review Findings,8f288299-a67b-452b-9054-4235f54e94a1,HR,Americas,88.41,Pending Review,Jennifer Brown,2025-07-27,3
Risk Management,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Compliance Oversight,Audit Data,Enforce Segregation of Duties,f3c4bb42-4dc1-4099-b10e-7b297e3a98ba,Finance,APAC,53.93,Non-Compliant,Susan Hoffman,2025-08-25,7
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Review Audit Findings,Security Value,Control Data,Assess Controls,5630ca22-5b06-41c4-97e4-165ded35e8f6,Operations,Americas,56.9,Compliant,Glenn Martin,2025-08-26,6
Operational Risk,Control Management,Internal Audit and Controls,Review Audit Findings,Compliance Oversight,Audit Data,Enforce Segregation of Duties,2c644f9d-6cf0-4980-83d2-a66eaf6b81d6,HR,Americas,70.41,Pending Review,Aimee Jacobson,2025-09-14,6
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,80f3d6b1-65e4-4e03-995f-97329ca213b8,Compliance,Americas,92.82,Compliant,Katrina Phillips,2025-08-31,6
Operational Risk,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Monitor,Audit Data,Assess Controls,92d7e134-a9ec-456d-94b4-fa298ff945e9,IT,APAC,57.16,Compliant,Barbara Diaz,2025-05-27,2
Financial Control,Internal Audit Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Control Data,Enforce Segregation of Duties,2db01372-b801-41c8-a1ec-2469af469bc0,IT,EMEA,66.53,Compliant,Michael Wilkinson,2025-03-12,9
Operational Risk,Risk and Compliance Operations,Audit Reporting,Review Audit Findings,Monitor,Audit Data,Assess Controls,f3ca7ba7-287c-4d09-877c-73baa7b14daa,IT,APAC,61.54,Pending Review,Michael Schaefer,2025-02-02,6
Operational Risk,Control Management,Control Monitoring,Review Audit Findings,Security Value,Control Data,Review Findings,ff0bf815-146f-420d-9817-10e674658b05,IT,Americas,75.26,Pending Review,Stephanie Crawford,2025-07-19,1
Financial Control,Internal Audit Operations,Internal Audit and Controls,Enforce Segregation of Duties,Monitor,Audit Data,Review Findings,f7faf6c7-32f9-4d8f-a1de-d9d86783f20a,Operations,APAC,52.1,Escalated,Jennifer Foster,2025-10-07,3
Financial Control,Internal Audit Operations,Internal Audit and Controls,Review Audit Findings,Monitor,Audit Data,Assess Controls,52b082ba-50be-4ede-b3e4-03d9f9d10932,Finance,Americas,75.22,Compliant,Heidi Gallagher,2025-08-16,6
Risk Management,Risk and Compliance Operations,Internal Audit and Controls,Assess Risk Controls,Compliance Oversight,Compliance Data,Assess Controls,cb288b51-475b-4058-8a6c-a1242a2fc18e,Compliance,EMEA,87.59,Non-Compliant,Michael Ryan,2025-09-08,2
Financial Control,Control Management,Internal Audit and Controls,Assess Risk Controls,Monitor,Control Data,Assess Controls,875750ff-74c0-4c4e-b09e-fa1de6891821,Operations,Americas,67.09,Pending Review,Kathryn Williams,2025-10-14,1
